algorithm,sample,at,precision,recall,fallout,nDCG,reach
LogLikelihoodSimilarity,1_20,5,0.3740350877192979,0.3740350877192979,8.242887967878607E-4,0.39138417479331633,1.0
LogLikelihoodSimilarity,1_20,10,0.39843749999999983,0.39843749999999983,0.0015863989978902948,0.436326729747189,1.0
LogLikelihoodSimilarity,1_20,20,0.4333333333333333,0.4333333333333333,0.0029966508020447744,0.4730517859389934,1.0
LogLikelihoodSimilarity,1_50,5,0.373940677966102,0.373940677966102,5.914031003532E-4,0.39025774243011085,1.0
LogLikelihoodSimilarity,1_50,10,0.3966981132075471,0.3966981132075471,0.0011408885907572856,0.42496685611096907,1.0
LogLikelihoodSimilarity,1_50,20,0.4607142857142857,0.4607142857142857,0.0020435229794835705,0.4828438463654616,1.0
LogLikelihoodSimilarity,1_100,5,0.35622065727699515,0.35622065727699515,5.26393575407199E-4,0.3678214758622932,1.0
LogLikelihoodSimilarity,1_100,10,0.39548387096774223,0.39548387096774223,9.893880998891305E-4,0.4095769546311678,1.0
LogLikelihoodSimilarity,1_100,20,0.4747311827956989,0.4747311827956989,0.0017221928432927917,0.49234766253850315,1.0
EuclideanDistanceSimilarity,1_20,5,0.25824561403508767,0.25824561403508767,9.767637423820287E-4,0.2664157371743581,1.0
EuclideanDistanceSimilarity,1_20,10,0.3437500000000001,0.3437500000000001,0.001730617088607595,0.36504643796775654,1.0
EuclideanDistanceSimilarity,1_20,20,0.425,0.425,0.003040719196192491,0.46506298669673324,1.0
EuclideanDistanceSimilarity,1_50,5,0.18177966101694906,0.18177966101694906,7.72926826925234E-4,0.1856564949259486,1.0
EuclideanDistanceSimilarity,1_50,10,0.2783018867924529,0.2783018867924529,0.0013647846316330327,0.28287780464460666,1.0
EuclideanDistanceSimilarity,1_50,20,0.40952380952380946,0.40952380952380946,0.0022374997744455875,0.4278242052958217,1.0
EuclideanDistanceSimilarity,1_100,5,0.11502347417840358,0.11502347417840358,7.236112230757126E-4,0.11556632011196613,1.0
EuclideanDistanceSimilarity,1_100,10,0.22580645161290328,0.22580645161290328,0.0012670925505517139,0.22336753843078913,1.0
EuclideanDistanceSimilarity,1_100,20,0.33763440860215044,0.33763440860215044,0.002171690463599507,0.3356759292651814,1.0
CityBlockSimilarity,1_20,5,0.23859649122807036,0.23859649122807036,0.00100263827860407,0.2688041645991109,1.0
CityBlockSimilarity,1_20,10,0.21718749999999998,0.21718749999999998,0.0020643789556962023,0.257695115497308,1.0
CityBlockSimilarity,1_20,20,0.24583333333333338,0.24583333333333338,0.003988189670368412,0.2861639038132441,1.0
CityBlockSimilarity,1_50,5,0.2286016949152544,0.2286016949152544,7.286966796568542E-4,0.258003029064598,1.0
CityBlockSimilarity,1_50,10,0.15849056603773565,0.15849056603773565,0.0015913567208060981,0.19921544560679277,1.0
CityBlockSimilarity,1_50,20,0.1547619047619048,0.1547619047619048,0.0032028726610007405,0.18578509360494297,1.0
CityBlockSimilarity,1_100,5,0.24647887323943654,0.24647887323943654,6.161252058549159E-4,0.27813527045375125,1.0
CityBlockSimilarity,1_100,10,0.20731182795698913,0.20731182795698913,0.0012973619837037835,0.2496998912742653,1.0
CityBlockSimilarity,1_100,20,0.1612903225806453,0.1612903225806453,0.002749867794817557,0.1984295216365673,1.0
TanimotoCoefficientSimilarity,1_20,5,0.44561403508771924,0.44561403508771924,7.300315576932847E-4,0.4671419996276372,1.0
TanimotoCoefficientSimilarity,1_20,10,0.46562499999999996,0.46562499999999996,0.0014092167721518995,0.5003864114177486,1.0
TanimotoCoefficientSimilarity,1_20,20,0.4583333333333333,0.4583333333333333,0.002864445619601622,0.5001107749599456,1.0
TanimotoCoefficientSimilarity,1_50,5,0.4673728813559312,0.4673728813559312,5.031429422294243E-4,0.4964386967780337,1.0
TanimotoCoefficientSimilarity,1_50,10,0.5386792452830192,0.5386792452830192,8.723917449262112E-4,0.5721635677466217,1.0
TanimotoCoefficientSimilarity,1_50,20,0.5464285714285715,0.5464285714285715,0.0017187246251285661,0.5853621252816652,1.0
TanimotoCoefficientSimilarity,1_100,5,0.4789906103286386,0.4789906103286386,4.2600931289563283E-4,0.5100185473947204,1.0
TanimotoCoefficientSimilarity,1_100,10,0.5475268817204311,0.5475268817204311,7.405452017668907E-4,0.5812830880871749,1.0
TanimotoCoefficientSimilarity,1_100,20,0.5946236559139786,0.5946236559139786,0.0013291027674951525,0.630564674246408,1.0
Random,1_20,5,0.0014035087719298249,0.0014035087719298249,0.0013149808944272715,0.0012633495248324002,1.0
Random,1_20,10,0.003125,0.003125,0.002628889767932488,0.0045852451312100055,1.0
Random,1_20,20,0.008333333333333335,0.008333333333333335,0.005244138903578353,0.00839953186948729,1.0
Random,1_50,5,0.0014830508474576272,0.0014830508474576272,9.432429143704371E-4,0.0015171333819437147,1.0
Random,1_50,10,0.0028301886792452833,0.0028301886792452833,0.0018857220335112615,0.0026942480006818376,1.0
Random,1_50,20,0.0023809523809523816,0.0023809523809523816,0.00378029195763186,0.002222219672318305,1.0
Random,1_100,5,9.389671361502352E-4,9.389671361502352E-4,8.168937308780459E-4,9.225513324712124E-4,1.0
Random,1_100,10,0.0023655913978494624,0.0023655913978494624,0.0016327895394470562,0.002190564072623285,1.0
Random,1_100,20,0.0010752688172043015,0.0010752688172043015,0.0032751630530583452,8.010351695871245E-4,1.0
